X1,X2
TCU,Baylor
Baylor,Iowa St.
Kansas,Baylor
Baylor,Oklahoma St.
Baylor,Texas Tech
Baylor,West Virginia
Baylor,Alabama
Baylor,Oklahoma
Baylor,TCU
Texas,Baylor
Kansas St.,Baylor
Baylor,Oklahoma
Texas Tech,Baylor
Baylor,Iowa St.
Baylor,West Virginia
Baylor,Texas
Kansas St.,Baylor
Oklahoma St.,Baylor
Kansas,Baylor
Iowa St.,Baylor
Belmont,Illinois St.
Belmont,Middle Tenn.
Belmont,Lipscomb
Belmont,Kennesaw St.
Belmont,Samford
Green Bay,Belmont
Belmont,Lipscomb
Belmont,UCLA
Belmont,Western Ky.
Purdue,Belmont
Jacksonville St.,Belmont
Belmont,Tennessee Tech
Belmont,Morehead St.
Belmont,Eastern Ky.
Jacksonville St.,Belmont
Belmont,Tennessee St.
Belmont,Murray St.
Belmont,Austin Peay
Belmont,Southeast Mo. St.
Belmont,UT Martin
Belmont,Eastern Ky.
Belmont,Morehead St.
Belmont,Tennessee St.
Belmont,Tennessee Tech
Belmont,Eastern Ill.
Belmont,SIUE
Belmont,UT Martin
Belmont,Southeast Mo. St.
Belmont,Austin Peay
Murray St.,Belmont
DePaul,Bethune-Cookman
Marquette,Bethune-Cookman
Miami (FL),Bethune-Cookman
Omaha,Bethune-Cookman
Bethune-Cookman,Stetson
Bethune-Cookman,Fla. Atlantic
Saint Mary's (CA),Bethune-Cookman
San Jose St.,Bethune-Cookman
Cal Poly,Bethune-Cookman
Jacksonville,Bethune-Cookman
Quinnipiac,Bethune-Cookman
Bethune-Cookman,Boston U.
N.C. Central,Bethune-Cookman
Bethune-Cookman,Howard
Norfolk St.,Bethune-Cookman
Bethune-Cookman,Delaware St.
Bethune-Cookman,UMES
Morgan St.,Bethune-Cookman
Coppin St.,Bethune-Cookman
Bethune-Cookman,N.C. Central
Bethune-Cookman,N.C. A&T
Bethune-Cookman,Norfolk St.
Howard,Bethune-Cookman
Bethune-Cookman,South Carolina St.
Savannah St.,Bethune-Cookman
Bethune-Cookman,Florida A&M
Bethune-Cookman,South Carolina St.
Florida A&M,Bethune-Cookman
Howard,Bethune-Cookman
Cornell,Binghamton
NJIT,Binghamton
Northwestern,Binghamton
Colgate,Binghamton
Binghamton,Sacred Heart
